;program	category	description
Fisher-exact-test	statistics	 Calculates the value of probability for Fisher's exact test, for a given table of numerical values. 
IUPAC-to-regular	util; sequence	 Transforms a sequence conform to IUPAC degenerate code into an equivalent regular expression. this expression canbe used to search for complex patterns with general string search program like grep or gais. 
MDCreport-from-dnapat	util	 Convert a pattern matching file (obtained with dna-pattern) into the format specified for the motif discovery competition 2004. http://www.cs.washington.edu/homes/tompa/competition/ 
Naus_Sheng_1997.pl	statistics	 This scripts calculates the approximations according to Naus, J.I. and Sheng, K. (1997). Matching among multiple random sequence. Bulletin of Mathematical Biology 59(3): 483-496. 
RSA-backup	administration	 Creates a backup of rsa-tools programs, in the for of two tar files: one containing perl-script and the other public_html. 
RSA-zip	administration	 Creates a backup of rsa-tools programs, in the for of two tar files: one containing perl-script and the other public_html. 
XYgraph	drawing	 Draws a XY graph with the numbers of the 2 first columns of input file and exports this graph as a GIF file. 
add-linenb	util	 add a column to the input file indicating the line number 
add-orf-function	genomics	 Takes as input a tab-delimited file where the first word of each row is an ORF identifier, and adds a column with a description of the ORFs. 
add-orf-id	genomics	 Taking as input a file where each line starts with a gene name (or any supoprted synonym), adds a column in frot of it, giving the ORF identifer. 
add-yeast-link	genomics	 Takes as input a text or HTML file, and insert HTML tags to link yeast ORF names to the selected databases. The current version only supports the yeast Saccharomyces cerevisiae. 
binomial	statistics	 Calculates the probability that an event with probability p challenged r times successes s times, according to the binomial formula. 
binomial-series	statistics	 Comparison of different approximations for the binomial formula. 
calc-neighbour-limits	genomics	 Calculates the relative positions of neighbour CDS for all genes of a selected organism. 
calibrate-oligos	util	 Calibrate oligonucleotide frequencies in upstream sequences of a selected organism. The calibration can be gene-wise (count oligo frequencies in the upstream sequence of each gene) or cluster-wise (count oligo frequencies in upstream sequences of random gene selections). 
check-oligo-analysis	util	 Check the program oligo-analysis by generating random sequences, and calculating oligo occurrences, P-value, E-value and significance. 
chi-square	statistics	 Calculates the chi square value for a given table of numerical values. 
classfreq	statistics	 This script takes a group of numbers (real or integers) and outputs their distribution among classes. 
closest-pair	statistics	 returns the distance between the closest elements of a list of integer numbers. 
coding-or-not	genomics	 Starting from a complete assembled genome, generate non-redundant sets of sequences, partitioned into different sequence types (see options). 
colsplit	util	 Splits a file accoding to the content of a specified column (the key column). A separate output file will be gnerated for each distinct key found in the key column of the input file. 
compare-classes	util,stat	 Compare two class files (the query file and the reference file). Each class of the query file is compared to each class of the reference file. The number of common elements is reported, as well as the probability to observe at least this number of common elements by chance alone. 
compare-scores	util	 compares the score associated to keys in different input files (basically, this amounts to join different tables on the basis of a unique identifier). 
compress-pattern	util; sequence	 Compresses a pattern (first argument) by replacing repeats of the same letter (e.g. NNNNNNNNNNNNNNNN) by the corresponding regular expression (e.g. N{16}). 
conditional-probabilities	util	 Calculate conditional residue probabilities on the basis of a specified oligonucleotide frequencies. 
convert-chip	util	 Interconversions between microarray data files. 
convert-features	util	 Interconversions between various formats of feature description. 
convert-matrix	util; conversion; sequences	 Read a position-specific scoring matrix (PSSM) from different formats, and exports it in a format that can be used by the matrix matching program patser (Hertz et al, 1999). 
convert-seq	util; sequences	 Converts sequences between different formats. Optionally, also returns the reverse-complement of the input sequences. 
count-matches	util; sequences	 Count matching positions between two sequences provided as command line arguments. 
deletions	util; sequences	 returns a list of sequences matching a DNA pattern with a given number of deletions 
