##########################################################################
# List of KEGG organisms supported in KGML modus
# (depends on KEGG PATHWAY version, please update list if needed)
# KEGG PATHWAY version: 46.0
##########################################################################
aae	Aquifex aeolicus
aau	Arthrobacter aurescens
aav	Acidovorax avenae
aba	Acidobacteria bacterium
abm	Acinetobacter baumannii SDF
abo	Alcanivorax borkumensis
abu	Arcobacter butzleri
aby	Acinetobacter baumannii AYE
acb	Acinetobacter baumannii
ace	Acidothermus cellulolyticus
aci	Acinetobacter sp. ADP1
acl	Acholeplasma laidlawii
acr	Acidiphilium cryptum JF-5
ade	Anaeromyxobacter dehalogenans
aeh	Alkalilimnicola ehrlichei
afm	Aspergillus fumigatus
afu	Archaeoglobus fulgidus
afw	Anaeromyxobacter sp. Fw109-5
aga	Anopheles gambiae (mosquito)
ago	Ashbya gossypii (Eremothecium gossypii)
aha	Aeromonas hydrophila
ajs	Acidovorax sp. JS42
ama	Anaplasma marginale
amr	Acaryochloris marina
amt	Alkaliphilus metalliredigens
ana	Anabaena sp. PCC7120
ang	Aspergillus niger
ani	Aspergillus nidulans
aoe	Alkaliphilus oremlandii
aor	Aspergillus oryzae
ape	Aeropyrum pernix
aph	Anaplasma phagocytophilum
apj	Actinobacillus pleuropneumoniae serovar 3 JL03
apl	Actinobacillus pleuropneumoniae
art	Arthrobacter sp. FB24
asa	Aeromonas salmonicida
asu	Actinobacillus succinogenes
atc	Agrobacterium tumefaciens C58 (Cereon)
ath	Arabidopsis thaliana (thale cress)
atu	Agrobacterium tumefaciens C58 (UWash/Dupont)
ava	Anabaena variabilis
ayw	Phytoplasma AYWB
azc	Azorhizobium caulinodans
azo	Azoarcus sp. BH72
baa	Bacillus anthracis A2012
bab	Buchnera aphidicola Bp
bac	Burkholderia ambifaria MC40-6
bad	Bifidobacterium adolescentis
baf	Borrelia afzelii
bam	Burkholderia cepacia
ban	Bacillus anthracis Ames
bar	Bacillus anthracis Ames 0581
bas	Buchnera aphidicola Sg
bat	Bacillus anthracis Sterne
bay	Bacillus amyloliquefaciens
bba	Bdellovibrio bacteriovorus
bbk	Bartonella bacilliformis
bbr	Bordetella bronchiseptica
bbt	Bradyrhizobium sp. BTAi1
bbu	Borrelia burgdorferi
bca	Bacillus cereus ATCC 10987
bcc	Buchnera aphidicola Cc
bce	Bacillus cereus ATCC 14579
bch	Burkholderia cenocepacia HI2424
bci	Baumannia cicadellinicola
bcl	Bacillus clausii
bcm	Burkholderia cenocepacia MC0-3
bcn	Burkholderia cenocepacia AU1054
bcs	Brucella canis
bcy	Bacillus cereus subsp. cytotoxis NVH 391-98
bcz	Bacillus cereus ZK
bfl	Candidatus Blochmannia floridanus
bfr	Bacteroides fragilis YCH46
bfs	Bacteroides fragilis NCTC9343
bga	Borrelia garinii
bha	Bacillus halodurans
bhe	Bartonella henselae
bja	Bradyrhizobium japonicum
bld	Bacillus licheniformis DSM13
bli	Bacillus licheniformis ATCC 14580
blo	Bifidobacterium longum
bma	Burkholderia mallei ATCC 23344
bmb	Brucella abortus
bme	Brucella melitensis
bmf	Brucella melitensis biovar Abortus
bml	Burkholderia mallei NCTC 10229
bmn	Burkholderia mallei NCTC 10247
bms	Brucella suis
bmt	Brucella suis ATCC 23445
bmu	Burkholderia multivorans
bmv	Burkholderia mallei SAVP1
bov	Brucella ovis
bpa	Bordetella parapertussis
bpd	Burkholderia pseudomallei 668
bpe	Bordetella pertussis
bpl	Burkholderia pseudomallei 1106a
bpm	Burkholderia pseudomallei 1710b
bpn	Candidatus Blochmannia pennsylvanicus
bps	Burkholderia pseudomallei K96243
