# RPairs file created from KEGG LIGAND version 49.0 reaction file
# REACTION_ID	RPAIR_ID	LEFT_CPD_ID	RIGHT_CPD_ID	LINK_TYPE
R00002	RP00003	C00002	C00008	main
R00002	RP00010	C00002	C00009	leave
R00002	RP05676	C00001	C00009	leave
R00004	RP00190	C00009	C00013	main
R00004	RP05676	C00001	C00009	leave
R00005	RP05682	C00001	C00011	leave
R00005	RP07361	C00011	C01010	leave
R00006	RP00440	C00022	C00900	main
R00006	RP05698	C00011	C00022	leave
R00006	RP12733	C00022	C00900	trans
R00008	RP02868	C00022	C06033	main
R00009	RP00130	C00001	C00027	leave
R00009	RP02902	C00007	C00027	main
R00010	RP00453	C00031	C01083	main
R00010	RP05679	C00001	C00031	leave
R00011	RP00130	C00001	C00027	leave
R00012	RP00199	C00013	C00044	main
R00012	RP00462	C00044	C01261	main
R00013	RP02916	C00048	C01146	main
R00013	RP05908	C00011	C00048	leave
R00014	RP00074	C00068	C05125	main
R00014	RP02918	C00022	C05125	trans
R00014	RP05698	C00011	C00022	leave
R00015	RP00205	C00031	C00089	main
R00015	RP02919	C00089	C03661	main
R00016	RP00208	C00031	C00103	main
R00016	RP00210	C00103	C00660	main
R00017	RP00038	C00125	C00126	main
R00017	RP00130	C00001	C00027	leave
R00018	RP00468	C00134	C06366	main
R00018	RP05912	C00014	C00134	leave
R00018	RP10308	C00134	C06366	trans
R00021	RP00014	C00025	C00026	trans
R00021	RP00024	C00025	C00064	main
R00021	RP06393	C00025	C00064	trans
R00022	RP02924	C00140	C01674	main
R00022	RP05765	C00001	C00140	leave
R00023	RP00002	C00003	C00004	cofac
R00023	RP02943	C00192	C01818	main
R00024	RP00477	C00197	C01182	main
R00024	RP05914	C00001	C00197	leave
R00024	RP07387	C00011	C00197	leave
R00025	RP02945	C00207	C02116	main
R00025	RP05822	C00007	C00207	leave
R00025	RP07453	C00088	C02116	leave
R00026	RP02954	C00185	C00221	main
R00026	RP05763	C00001	C00221	leave
R00026	RP12670	C00185	C00221	main
R00027	RP02955	C00261	C01408	main
R00028	RP02961	C00208	C00267	main
R00028	RP05714	C00001	C00267	leave
R00029	RP00038	C00125	C00126	cofac
R00029	RP02962	C00320	C02084	main
R00031	RP00123	C00082	C00355	main
R00031	RP05762	C00007	C00355	leave
R00032	RP02971	C00376	C02094	main
R00033	RP00006	C00007	C00027	cofac
R00033	RP02981	C00378	C05856	main
R00034	RP02988	C03103	C08249	main
R00034	RP10322	C03103	C08249	main
R00036	RP03000	C00430	C00931	main
R00036	RP07475	C00001	C00430	leave
R00036	RP10369	C00430	C00931	main
R00038	RP03004	C00479	C02948	main
R00039	RP00235	C00089	C00492	main
R00039	RP03009	C00492	C03971	main
R00041	RP00013	C00001	C00007	leave
R00041	RP03013	C00339	C00609	main
R00042	RP03014	C00642	C01179	main
R00042	RP05760	C00011	C01179	leave
R00042	RP07486	C00007	C00642	leave
R00043	RP03020	C00755	C04547	main
R00043	RP07493	C00007	C00755	leave
R00044	RP00013	C00001	C00007	leave
R00044	RP03021	C00757	C01795	main
R00045	RP00013	C00001	C00007	leave
R00045	RP00507	C00355	C00822	main
R00047	RP03032	C01020	C01059	main
R00047	RP05929	C00007	C01059	leave
R00047	RP07517	C00011	C01020	leave
R00048	RP03042	C01089	C04546	main
R00049	RP00512	C00031	C01158	main
R00049	RP03045	C01158	C04101	main
R00052	RP00130	C00001	C00027	leave
R00052	RP03081	C00698	C01334	main
R00053	RP03098	C01424	C01572	main
R00054	RP03099	C01839	C02868	main
R00055	RP00013	C00001	C00007	cofac
R00055	RP03102	C00294	C01993	main
R00056	RP03104	C01910	C02171	main
R00056	RP07549	C00001	C02171	leave
R00056	RP12350	C01910	C02171	main
R00057	RP00013	C00001	C00007	leave
R00057	RP03122	C01525	C02318	main
R00058	RP00013	C00001	C00007	leave
R00058	RP03123	C00090	C02351	main
R00059	RP03127	C01255	C02378	main
R00059	RP05946	C00001	C02378	leave
R00060	RP00013	C00001	C00007	leave
R00061	RP00013	C00001	C00007	leave
R00063	RP00527	C00031	C01175	main
R00063	RP03200	C01175	C04275	main
R00064	RP00560	C04053	C04733	main
R00064	RP10354	C04053	C04733	main
