ailMel1	Panda		Dec. 2009
anoCar1	Lizard	Anolis carolinensis	Feb. 2007
anoCar2	Lizard	Anolis carolinensis	May 2010
anoGam1	A. gambiae		Feb. 2003
apiMel1	A. mellifera		July 2004
apiMel2	A. mellifera		Jan. 2005
apiMel3	A. mellifera		May 2005
aplCal1	Sea hare		Sept. 2008
bosTau1	Cow	Bos taurus	May 2004
bosTau2	Cow	Bos taurus	Mar. 2005
bosTau3	Cow	Bos taurus	Aug. 2006
bosTau4	Cow	Bos taurus	Oct. 2007
bosTau5	Cow	Bos taurus	Apr. 2009
bosTau6	Cow	Bos taurus	Nov. 2009
braFlo1	Lancelet	Branchiostoma floridae	Mar. 2006
caeJap1	C. japonica		Mar. 2008
caePb1	C. brenneri		Jan. 2007
caePb2	C. brenneri		Feb. 2008
caeRem1	C. remanei
caeRem2	C. remanei		Mar. 2006
caeRem3	C. remanei		May 2007
calJac1	Marmoset	Callithrix jacchus	June 2007
calJac2	Marmoset	Callithrix jacchus
calJac3	Marmoset	Callithrix jacchus	March 2009
canFam1	Dog	Canis lupus familiaris	July 2004
canFam2	Dog	Canis lupus familiaris	May 2005
cavPor1	Guinea pig	Cavia porcellus
cavPor2	Guinea pig	Cavia porcellus	Oct. 2005
cavPor3	Guinea pig 	Cavia porcellus	Feb. 2008
cb1	C. briggsae		July 2002
cb2	C. briggsae		
cb3	C. briggsae		Jan. 2007
ce1	C. elegans		May 2003
ce10	C. elegans		Oct. 2010
ce2	C. elegans		Mar. 2004
ce3	C. elegans		
ce4	C. elegans		Jan. 2007
ce5	C. elegans		
ce6	C. elegans		May 2008
choHof1	Sloth	Choloepus hoffmanni	July 2008
ci1	C. intestinalis		Dec. 2002
ci2	C. intestinalis		Mar. 2005
danRer1	Zebrafish	Danio rerio	
danRer2	Zebrafish	Danio rerio	Jun. 2004
danRer3	Zebrafish	Danio rerio	May 2005
danRer4	Zebrafish	Danio rerio	Mar. 2006
danRer5	Zebrafish	Danio rerio	July 2007
danRer6	Zebrafish	Danio rerio	Dec. 2008
danRer7	Zebrafish	Danio rerio	July 2010
dasNov1	Armadillo	Dasypus nove mcinctus	May 2005
dasNov2	Armadillo	Dasypus nove mcinctus	July 2008
dipOrd1	Kangaroo rat	Dipodomysordii	July 2008
dm1	D. melanogaster		Jan. 2003
dm2	D. melanogaster		Apr. 2004
dm3	D. melanogaster		Apr. 2006
dp2	D. pseudoobscura		Aug. 2003
dp3	D. pseudoobscura		Nov. 2004
dp4	D. pseudoobscura		Feb. 2006
droAna1	D. ananassae		July 2004
droAna2	D. ananassae		Aug. 2005
droAna3	D. ananassae		Feb. 2006
droEre1	D. erecta		Aug. 2005
droEre2	D. erecta		Feb. 2006
droGri1	D. grimshawi		Aug. 2005
droGri2	D. grimshawi		Feb. 2006
droMoj1	D. mojavensis		Aug. 2004
droMoj2	D. mojavensis		Aug. 2005
droMoj3	D. mojavensis		Feb. 2006
droPer1	D. persimilis		Oct. 2005
droSec1	D. sechellia		Oct. 2005
droSim1	D. simulans		Apr. 2005
droVir1	D. virilis		July 2004
droVir2	D. virilis		Aug. 2005
droVir3	D. virilis		Feb. 2006
droWil1	D. willistoni		Feb. 2006
droYak1	D. yakuba		Apr. 2004
droYak2	D. yakuba		Nov. 2005
echTel1	Tenrec	Echinops telfairi	July 2005
equCab1	Horse	Equus caballus 	Jan. 2007
equCab2	Horse	Equus caballus 	Sep. 2007
eriEur1	Hedgehog	Erinaceus europaeus	June 2006
felCat1	Cat	Felis catus	
felCat2	Cat	Felis catus	
felCat3	Cat	Felis catus	Mar. 2006
felCat4	Cat	Felis catus	Dec. 2008
fr1	Fugu	Takifugu rubripes 	Aug. 2002
fr2	Fugu	Takifugu rubripes 	Oct. 2004
galGal1	Chicken	Gallus gallus 	
galGal2	Chicken	Gallus gallus 	Feb. 2004
galGal3	Chicken	Gallus gallus 	May 2006
gasAcu1	Stickleback	Gasterosteus aculeatus	Feb. 2006
gorGor1	Gorilla	Gorilla gorilla gorilla	Oct. 2008
gorGor2	Gorilla	Gorilla gorilla gorilla	
gorGor3	Gorilla	Gorilla gorilla gorilla	May 2011
hg1	Human	Homo sapiens	
hg10	Human	Homo sapiens	
hg11	Human	Homo sapiens	
hg12	Human	Homo sapiens	
hg13	Human	Homo sapiens	
hg14	Human	Homo sapiens	
hg15	Human	Homo sapiens	
hg16	Human	Homo sapiens	July 2003
hg17	Human	Homo sapiens	May 2004
hg18	Human	Homo sapiens	Mar. 2006
hg19	Human	Homo sapiens	Feb. 2009
hg2	Human	Homo sapiens	
