; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_6nt_mkv4_m2/peak-motifs_oligos_6nt_mkv4_m2_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-440	-420	-430	3	3	5999	0.00050	0.00050	1.00000
-420	-400	-410	0	3	5996	0.00000	0.00050	0.99950
-400	-380	-390	2	5	5996	0.00033	0.00083	0.99950
-380	-360	-370	1	6	5994	0.00017	0.00100	0.99917
-360	-340	-350	1	7	5993	0.00017	0.00117	0.99900
-340	-320	-330	0	7	5992	0.00000	0.00117	0.99883
-320	-300	-310	2	9	5992	0.00033	0.00150	0.99883
-300	-280	-290	2	11	5990	0.00033	0.00183	0.99850
-280	-260	-270	4	15	5988	0.00067	0.00250	0.99817
-260	-240	-250	12	27	5984	0.00200	0.00450	0.99750
-240	-220	-230	15	42	5972	0.00250	0.00700	0.99550
-220	-200	-210	28	70	5957	0.00467	0.01167	0.99300
-200	-180	-190	53	123	5929	0.00883	0.02050	0.98833
-180	-160	-170	83	206	5876	0.01384	0.03434	0.97950
-160	-140	-150	113	319	5793	0.01884	0.05318	0.96566
-140	-120	-130	204	523	5680	0.03401	0.08718	0.94682
-120	-100	-110	248	771	5476	0.04134	0.12852	0.91282
-100	-80	-90	328	1099	5228	0.05468	0.18320	0.87148
-80	-60	-70	405	1504	4900	0.06751	0.25071	0.81680
-60	-40	-50	466	1970	4495	0.07768	0.32839	0.74929
-40	-20	-30	498	2468	4029	0.08301	0.41140	0.67161
-20	0	-10	507	2975	3531	0.08451	0.49592	0.58860
0	20	10	521	3496	3024	0.08685	0.58276	0.50408
20	40	30	500	3996	2503	0.08335	0.66611	0.41724
40	60	50	489	4485	2003	0.08151	0.74762	0.33389
60	80	70	413	4898	1514	0.06884	0.81647	0.25238
80	100	90	311	5209	1101	0.05184	0.86831	0.18353
100	120	110	231	5440	790	0.03851	0.90682	0.13169
120	140	130	213	5653	559	0.03551	0.94232	0.09318
140	160	150	124	5777	346	0.02067	0.96299	0.05768
160	180	170	84	5861	222	0.01400	0.97700	0.03701
180	200	190	45	5906	138	0.00750	0.98450	0.02300
200	220	210	26	5932	93	0.00433	0.98883	0.01550
220	240	230	27	5959	67	0.00450	0.99333	0.01117
240	260	250	8	5967	40	0.00133	0.99467	0.00667
260	280	270	13	5980	32	0.00217	0.99683	0.00533
280	300	290	4	5984	19	0.00067	0.99750	0.00317
300	320	310	5	5989	15	0.00083	0.99833	0.00250
320	340	330	5	5994	10	0.00083	0.99917	0.00167
340	360	350	1	5995	5	0.00017	0.99933	0.00083
360	380	370	1	5996	4	0.00017	0.99950	0.00067
380	400	390	1	5997	3	0.00017	0.99967	0.00050
400	420	410	1	5998	2	0.00017	0.99983	0.00033
420	440	430	0	5998	1	0.00000	0.99983	0.00017
440	460	450	0	5998	1	0.00000	0.99983	0.00017
460	480	470	1	5999	1	0.00017	1.00000	0.00017
; Statistics:
; -----------
; class interval     	20
; classes            	46
; count              	5999
; sum                	6088.5
; mean               	1.01492
; median class       	[-20..0[
; var                	8.27e+03
; std                	90.9294
; min                	-428.5
; max                	460.5
; range              	889
; Host name	rsat
; Job started	2014-09-03.102119
; Job done	2014-09-03.102119
; Seconds	0.3
;	user	0.3
;	system	0.01
;	cuser	0
;	csystem	0
