; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4.tf
; Sequence format      	fasta
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.28684
;		c	0.21288
;		g	0.21268
;		t	0.28760
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name              	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_8nt_mkv6_m4	13	4	1	-53.600	13.500	67.100	a:0.287 c:0.213 g:0.213 t:0.288 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_8nt_mkv6_m4	-5.0	4685	20777930	190064	9.064482e-03	6.982684e-03	146412.87	0.000000e+00	0.000000e+00	350.00	1
oligos_8nt_mkv6_m4	-4.9	4689	20782619	185375	8.840856e-03	6.746709e-03	141464.94	0.000000e+00	0.000000e+00	350.00	2
oligos_8nt_mkv6_m4	-4.8	4551	20787170	180824	8.623811e-03	6.558010e-03	137508.30	0.000000e+00	0.000000e+00	350.00	3
oligos_8nt_mkv6_m4	-4.7	4445	20791615	176379	8.411821e-03	6.334446e-03	132820.61	0.000000e+00	0.000000e+00	350.00	4
oligos_8nt_mkv6_m4	-4.6	4252	20795867	172127	8.209036e-03	6.142048e-03	128786.42	0.000000e+00	0.000000e+00	350.00	5
oligos_8nt_mkv6_m4	-4.5	4311	20800178	167816	8.003436e-03	5.971496e-03	125210.29	0.000000e+00	0.000000e+00	350.00	6
oligos_8nt_mkv6_m4	-4.4	4003	20804181	163813	7.812526e-03	5.771964e-03	121026.51	0.000000e+00	0.000000e+00	350.00	7
oligos_8nt_mkv6_m4	-4.3	4055	20808236	159758	7.619136e-03	5.608311e-03	117595.02	0.000000e+00	0.000000e+00	350.00	8
oligos_8nt_mkv6_m4	-4.2	3973	20812209	155785	7.429657e-03	5.434151e-03	113943.24	0.000000e+00	0.000000e+00	350.00	9
oligos_8nt_mkv6_m4	-4.1	3987	20816196	151798	7.239510e-03	5.246724e-03	110013.26	0.000000e+00	0.000000e+00	350.00	10
oligos_8nt_mkv6_m4	-4.0	3663	20819859	148135	7.064815e-03	5.098903e-03	106913.77	0.000000e+00	0.000000e+00	350.00	11
oligos_8nt_mkv6_m4	-3.9	3746	20823605	144389	6.886162e-03	4.920038e-03	103163.31	0.000000e+00	0.000000e+00	350.00	12
oligos_8nt_mkv6_m4	-3.8	3710	20827315	140679	6.709226e-03	4.766783e-03	99949.87	0.000000e+00	0.000000e+00	350.00	13
oligos_8nt_mkv6_m4	-3.7	3601	20830916	137078	6.537488e-03	4.612798e-03	96721.11	0.000000e+00	0.000000e+00	350.00	14
oligos_8nt_mkv6_m4	-3.6	3384	20834300	133694	6.376099e-03	4.475548e-03	93843.26	0.000000e+00	0.000000e+00	350.00	15
