; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m4/peak-motifs_positions_6nt_m4.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m4/peak-motifs_positions_6nt_m4_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m4/peak-motifs_positions_6nt_m4.tf
; Sequence format      	fasta
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m4/peak-motifs_positions_6nt_m4_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.28684
;		c	0.21288
;		g	0.21268
;		t	0.28760
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_6nt_m4	18	4	1	-51.800	19.300	71.100	a:0.287 c:0.213 g:0.213 t:0.288 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_6nt_m4	-5.0	3065	20432540	105074	5.116174e-03	4.136963e-03	84963.34	0.000000e+00	0.000000e+00	350.00	1
positions_6nt_m4	-4.9	2932	20435472	102142	4.973411e-03	3.981042e-03	81761.11	0.000000e+00	0.000000e+00	350.00	2
positions_6nt_m4	-4.8	3000	20438472	99142	4.827338e-03	3.857359e-03	79220.96	0.000000e+00	0.000000e+00	350.00	3
positions_6nt_m4	-4.7	2802	20441274	96340	4.690905e-03	3.711173e-03	76218.63	0.000000e+00	0.000000e+00	350.00	4
positions_6nt_m4	-4.6	2673	20443947	93667	4.560754e-03	3.582498e-03	73575.95	0.000000e+00	0.000000e+00	350.00	5
positions_6nt_m4	-4.5	2701	20446648	90966	4.429239e-03	3.470228e-03	71270.20	0.000000e+00	0.000000e+00	350.00	6
positions_6nt_m4	-4.4	2621	20449269	88345	4.301620e-03	3.337219e-03	68538.52	0.000000e+00	0.000000e+00	350.00	7
positions_6nt_m4	-4.3	2506	20451775	85839	4.179600e-03	3.232010e-03	66377.77	0.000000e+00	0.000000e+00	350.00	8
positions_6nt_m4	-4.2	2379	20454154	83460	4.063763e-03	3.118437e-03	64045.25	0.000000e+00	0.000000e+00	350.00	9
positions_6nt_m4	-4.1	2316	20456470	81144	3.950995e-03	2.997755e-03	61566.73	0.000000e+00	0.000000e+00	350.00	10
positions_6nt_m4	-4.0	2298	20458768	78846	3.839102e-03	2.901922e-03	59598.56	0.000000e+00	0.000000e+00	350.00	11
positions_6nt_m4	-3.9	2194	20460962	76652	3.732274e-03	2.788586e-03	57270.90	0.000000e+00	0.000000e+00	350.00	12
positions_6nt_m4	-3.8	2026	20462988	74626	3.633626e-03	2.688869e-03	55222.96	0.000000e+00	0.000000e+00	350.00	13
positions_6nt_m4	-3.7	2021	20465009	72605	3.535221e-03	2.592358e-03	53240.84	0.000000e+00	0.000000e+00	350.00	14
positions_6nt_m4	-3.6	1998	20467007	70607	3.437936e-03	2.508171e-03	51511.85	0.000000e+00	0.000000e+00	350.00	15
positions_6nt_m4	-3.5	1934	20468941	68673	3.343767e-03	2.417403e-03	49647.69	0.000000e+00	0.000000e+00	350.00	16
