; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.094519_2014-09-03.094519_gM9GBj/results/discovered_motifs/positions_6nt_m5/peak-motifs_positions_6nt_m5_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-340	-320	-330	1	1	2937	0.00034	0.00034	1.00000
-320	-300	-310	5	6	2936	0.00170	0.00204	0.99966
-300	-280	-290	2	8	2931	0.00068	0.00272	0.99796
-280	-260	-270	7	15	2929	0.00238	0.00511	0.99728
-260	-240	-250	4	19	2922	0.00136	0.00647	0.99489
-240	-220	-230	11	30	2918	0.00375	0.01021	0.99353
-220	-200	-210	16	46	2907	0.00545	0.01566	0.98979
-200	-180	-190	31	77	2891	0.01055	0.02622	0.98434
-180	-160	-170	52	129	2860	0.01771	0.04392	0.97378
-160	-140	-150	79	208	2808	0.02690	0.07082	0.95608
-140	-120	-130	142	350	2729	0.04835	0.11917	0.92918
-120	-100	-110	168	518	2587	0.05720	0.17637	0.88083
-100	-80	-90	234	752	2419	0.07967	0.25604	0.82363
-80	-60	-70	239	991	2185	0.08138	0.33742	0.74396
-60	-40	-50	170	1161	1946	0.05788	0.39530	0.66258
-40	-20	-30	133	1294	1776	0.04528	0.44059	0.60470
-20	0	-10	118	1412	1643	0.04018	0.48076	0.55941
0	20	10	138	1550	1525	0.04699	0.52775	0.51924
20	40	30	147	1697	1387	0.05005	0.57780	0.47225
40	60	50	216	1913	1240	0.07354	0.65134	0.42220
60	80	70	206	2119	1024	0.07014	0.72148	0.34866
80	100	90	214	2333	818	0.07286	0.79435	0.27852
100	120	110	189	2522	604	0.06435	0.85870	0.20565
120	140	130	169	2691	415	0.05754	0.91624	0.14130
140	160	150	101	2792	246	0.03439	0.95063	0.08376
160	180	170	64	2856	145	0.02179	0.97242	0.04937
180	200	190	40	2896	81	0.01362	0.98604	0.02758
200	220	210	21	2917	41	0.00715	0.99319	0.01396
220	240	230	4	2921	20	0.00136	0.99455	0.00681
240	260	250	7	2928	16	0.00238	0.99694	0.00545
260	280	270	2	2930	9	0.00068	0.99762	0.00306
280	300	290	5	2935	7	0.00170	0.99932	0.00238
300	320	310	2	2937	2	0.00068	1.00000	0.00068
; Statistics:
; -----------
; class interval     	20
; classes            	33
; count              	2937
; sum                	10411.5
; mean               	3.54494
; median class       	[-20..0[
; var                	1.08e+04
; std                	103.761
; min                	-320.5
; max                	310.5
; range              	631
; Host name	rsat
; Job started	2014-09-03.102525
; Job done	2014-09-03.102525
; Seconds	0.29
;	user	0.29
;	system	0.01
;	cuser	0
;	csystem	0
