#Motif	Logo	3 Top hits in databases
oligos_6nt_mkv4_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m1/peak-motifs_oligos_6nt_mkv4_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Sox17, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_6nt_mkv4_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m2/peak-motifs_oligos_6nt_mkv4_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  Sox5, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_6nt_mkv4_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m3/peak-motifs_oligos_6nt_mkv4_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_6nt_mkv4_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m4/peak-motifs_oligos_6nt_mkv4_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  Gata1, Gata4, GATA3, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_6nt_mkv4_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m5/peak-motifs_oligos_6nt_mkv4_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, BRCA1, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_6nt_m1	<img border='1' height='50' src='results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPB, CEBPA, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_6nt_m2	<img border='1' height='50' src='results/discovered_motifs/positions_6nt_m2/peak-motifs_positions_6nt_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  Cebpa, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_6nt_m3	<img border='1' height='50' src='results/discovered_motifs/positions_6nt_m3/peak-motifs_positions_6nt_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, Myb, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_6nt_m4	<img border='1' height='50' src='results/discovered_motifs/positions_6nt_m4/peak-motifs_positions_6nt_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_6nt_m5	<img border='1' height='50' src='results/discovered_motifs/positions_6nt_m5/peak-motifs_positions_6nt_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_7nt_mkv5_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_mkv5_m1/peak-motifs_oligos_7nt_mkv5_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, BRCA1, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_7nt_mkv5_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  ARID3A, MEF2C, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_7nt_mkv5_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_mkv5_m3/peak-motifs_oligos_7nt_mkv5_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  HLF, CEBPA, SOX10, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_7nt_mkv5_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_mkv5_m4/peak-motifs_oligos_7nt_mkv5_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  SRY, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
oligos_7nt_mkv5_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_7nt_mkv5_m5/peak-motifs_oligos_7nt_mkv5_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
