; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-200	-180	-190	34	34	8124	0.00419	0.00419	1.00000
-180	-160	-170	38	72	8090	0.00468	0.00886	0.99581
-160	-140	-150	70	142	8052	0.00862	0.01748	0.99114
-140	-120	-130	100	242	7982	0.01231	0.02979	0.98252
-120	-100	-110	148	390	7882	0.01822	0.04801	0.97021
-100	-80	-90	182	572	7734	0.02240	0.07041	0.95199
-80	-60	-70	388	960	7552	0.04776	0.11817	0.92959
-60	-40	-50	664	1624	7164	0.08173	0.19990	0.88183
-40	-20	-30	1056	2680	6500	0.12999	0.32989	0.80010
-20	0	-10	1484	4164	5444	0.18267	0.51256	0.67011
0	20	10	1344	5508	3960	0.16544	0.67799	0.48744
20	40	30	982	6490	2616	0.12088	0.79887	0.32201
40	60	50	688	7178	1634	0.08469	0.88355	0.20113
60	80	70	368	7546	946	0.04530	0.92885	0.11645
80	100	90	192	7738	578	0.02363	0.95249	0.07115
100	120	110	152	7890	386	0.01871	0.97120	0.04751
120	140	130	108	7998	234	0.01329	0.98449	0.02880
140	160	150	56	8054	126	0.00689	0.99138	0.01551
160	180	170	52	8106	70	0.00640	0.99778	0.00862
180	200	190	18	8124	18	0.00222	1.00000	0.00222
; Statistics:
; -----------
; class interval     	20
; classes            	20
; count              	8124
; sum                	-4464
; mean               	-0.549483
; median class       	[-40..-20[
; var                	3.25e+03
; std                	57.0103
; min                	-193.5
; max                	194.5
; range              	388
; Host name	rsat
; Job started	2014-09-03.192350
; Job done	2014-09-03.192350
; Seconds	0.3
;	user	0.3
;	system	0.01
;	cuser	0
;	csystem	0
