; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta -matrix_format transfac -m $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta
; Matrix files
;	matrix 1	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4.tf
; Sequence format      	fasta
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.28671
;		c	0.21298
;		g	0.21277
;		t	0.28754
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m4	16	4	1	-48.700	18.300	67.000	a:0.287 c:0.213 g:0.213 t:0.288 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m4	-5.0	7379	19804620	267064	1.330551e-02	6.810119e-03	136690.56	0.000000e+00	0.000000e+00	350.00	1
dyads_m4	-4.9	7357	19811977	259707	1.293897e-02	6.533871e-03	131145.79	0.000000e+00	0.000000e+00	350.00	2
dyads_m4	-4.8	6995	19818972	252712	1.259047e-02	6.314919e-03	126751.05	0.000000e+00	0.000000e+00	350.00	3
dyads_m4	-4.7	6868	19825840	245844	1.224830e-02	6.053983e-03	121513.63	0.000000e+00	0.000000e+00	350.00	4
dyads_m4	-4.6	6878	19832718	238966	1.190563e-02	5.823783e-03	116893.12	0.000000e+00	0.000000e+00	350.00	5
dyads_m4	-4.5	6679	19839397	232287	1.157287e-02	5.622666e-03	112856.38	0.000000e+00	0.000000e+00	350.00	6
dyads_m4	-4.4	6663	19846060	225624	1.124091e-02	5.384776e-03	108081.51	0.000000e+00	0.000000e+00	350.00	7
dyads_m4	-4.3	6151	19852211	219473	1.093446e-02	5.196380e-03	104300.08	0.000000e+00	0.000000e+00	350.00	8
dyads_m4	-4.2	6048	19858259	213425	1.063314e-02	4.994845e-03	100254.95	0.000000e+00	0.000000e+00	350.00	9
dyads_m4	-4.1	5937	19864196	207488	1.033735e-02	4.780926e-03	95961.23	0.000000e+00	0.000000e+00	350.00	10
dyads_m4	-4.0	5642	19869838	201846	1.005626e-02	4.612752e-03	92585.69	0.000000e+00	0.000000e+00	350.00	11
dyads_m4	-3.9	5494	19875332	196352	9.782538e-03	4.414983e-03	88616.15	0.000000e+00	0.000000e+00	350.00	12
dyads_m4	-3.8	5353	19880685	190999	9.515844e-03	4.243081e-03	85165.78	0.000000e+00	0.000000e+00	350.00	13
dyads_m4	-3.7	5049	19885734	185950	9.264295e-03	4.077475e-03	81841.79	0.000000e+00	0.000000e+00	350.00	14
dyads_m4	-3.6	4942	19890676	181008	9.018078e-03	3.934567e-03	78973.38	0.000000e+00	0.000000e+00	350.00	15
dyads_m4	-3.5	4897	19895573	176111	8.774102e-03	3.782644e-03	75924.03	0.000000e+00	0.000000e+00	350.00	16
dyads_m4	-3.4	4484	19900057	171627	8.550703e-03	3.622618e-03	72712.05	0.000000e+00	0.000000e+00	350.00	17
dyads_m4	-3.3	4314	19904371	167313	8.335773e-03	3.484279e-03	69935.35	0.000000e+00	0.000000e+00	350.00	18
dyads_m4	-3.2	4082	19908453	163231	8.132402e-03	3.364943e-03	67540.06	0.000000e+00	0.000000e+00	350.00	19
dyads_m4	-3.1	4100	19912553	159131	7.928134e-03	3.237964e-03	64991.39	0.000000e+00	0.000000e+00	350.00	20
dyads_m4	-3.0	3945	19916498	155186	7.731589e-03	3.116238e-03	62548.15	0.000000e+00	0.000000e+00	350.00	21
dyads_m4	-2.9	3622	19920120	151564	7.551136e-03	2.988939e-03	59993.03	0.000000e+00	0.000000e+00	350.00	22
