; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta -matrix_format transfac -m $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta
; Matrix files
;	matrix 1	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf
; Sequence format      	fasta
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.28671
;		c	0.21298
;		g	0.21277
;		t	0.28754
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name              	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_7nt_mkv5_m2	12	4	1	-65.300	12.900	78.200	a:0.287 c:0.213 g:0.213 t:0.288 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_7nt_mkv5_m2	-5.0	291	20382655	33333	1.632691e-03	1.155190e-03	23584.35	0.000000e+00	0.000000e+00	350.00	1
oligos_7nt_mkv5_m2	-4.9	153	20382808	33180	1.625197e-03	1.146054e-03	23397.83	0.000000e+00	0.000000e+00	350.00	2
oligos_7nt_mkv5_m2	-4.8	236	20383044	32944	1.613637e-03	1.141921e-03	23313.43	0.000000e+00	0.000000e+00	350.00	3
oligos_7nt_mkv5_m2	-4.7	164	20383208	32780	1.605604e-03	1.134444e-03	23160.80	0.000000e+00	0.000000e+00	350.00	4
oligos_7nt_mkv5_m2	-4.6	136	20383344	32644	1.598943e-03	1.127063e-03	23010.09	0.000000e+00	0.000000e+00	350.00	5
oligos_7nt_mkv5_m2	-4.5	123	20383467	32521	1.592918e-03	1.123732e-03	22942.10	0.000000e+00	0.000000e+00	350.00	6
oligos_7nt_mkv5_m2	-4.4	115	20383582	32406	1.587285e-03	1.117429e-03	22813.42	0.000000e+00	0.000000e+00	350.00	7
oligos_7nt_mkv5_m2	-4.3	102	20383684	32304	1.582289e-03	1.114948e-03	22762.76	0.000000e+00	0.000000e+00	350.00	8
oligos_7nt_mkv5_m2	-4.2	62	20383746	32242	1.579253e-03	1.112335e-03	22709.42	0.000000e+00	0.000000e+00	350.00	9
oligos_7nt_mkv5_m2	-4.1	20	20383766	32222	1.578273e-03	1.109504e-03	22651.62	0.000000e+00	0.000000e+00	350.00	10
oligos_7nt_mkv5_m2	-4.0	57	20383823	32165	1.575481e-03	1.108552e-03	22632.19	0.000000e+00	0.000000e+00	350.00	11
oligos_7nt_mkv5_m2	-3.9	82	20383905	32083	1.571465e-03	1.107613e-03	22613.01	0.000000e+00	0.000000e+00	350.00	12
oligos_7nt_mkv5_m2	-3.8	12	20383917	32071	1.570877e-03	1.105794e-03	22575.87	0.000000e+00	0.000000e+00	350.00	13
oligos_7nt_mkv5_m2	-3.7	32	20383949	32039	1.569309e-03	1.104858e-03	22556.77	0.000000e+00	0.000000e+00	350.00	14
oligos_7nt_mkv5_m2	-3.6	43	20383992	31996	1.567203e-03	1.104326e-03	22545.91	0.000000e+00	0.000000e+00	350.00	15
oligos_7nt_mkv5_m2	-3.5	7	20383999	31989	1.566860e-03	1.103204e-03	22523.00	0.000000e+00	0.000000e+00	350.00	16
oligos_7nt_mkv5_m2	-3.4	11	20384010	31978	1.566322e-03	1.102925e-03	22517.31	0.000000e+00	0.000000e+00	350.00	17
oligos_7nt_mkv5_m2	-3.3	4	20384014	31974	1.566126e-03	1.102576e-03	22510.17	0.000000e+00	0.000000e+00	350.00	18
oligos_7nt_mkv5_m2	-3.2	4	20384018	31970	1.565930e-03	1.102405e-03	22506.69	0.000000e+00	0.000000e+00	350.00	19
oligos_7nt_mkv5_m2	-3.1	1	20384019	31969	1.565881e-03	1.102288e-03	22504.29	0.000000e+00	0.000000e+00	350.00	20
oligos_7nt_mkv5_m2	-3.0	2	20384021	31967	1.565783e-03	1.102202e-03	22502.54	0.000000e+00	0.000000e+00	350.00	21
oligos_7nt_mkv5_m2	-2.9	3	20384024	31964	1.565636e-03	1.102066e-03	22499.77	0.000000e+00	0.000000e+00	350.00	22
oligos_7nt_mkv5_m2	-2.8	2	20384026	31962	1.565538e-03	1.102037e-03	22499.16	0.000000e+00	0.000000e+00	350.00	23
oligos_7nt_mkv5_m2	-2.7	1	20384027	31961	1.565489e-03	1.101948e-03	22497.36	0.000000e+00	0.000000e+00	350.00	24
oligos_7nt_mkv5_m2	-1.7	2	20384029	31959	1.565391e-03	1.101851e-03	22495.37	0.000000e+00	0.000000e+00	350.00	25
oligos_7nt_mkv5_m2	-1.6	9	20384038	31950	1.564950e-03	1.101851e-03	22495.37	0.000000e+00	0.000000e+00	350.00	26
oligos_7nt_mkv5_m2	-1.5	2	20384040	31948	1.564852e-03	1.101113e-03	22480.30	0.000000e+00	0.000000e+00	350.00	27
oligos_7nt_mkv5_m2	-1.4	32	20384072	31916	1.563285e-03	1.101113e-03	22480.30	0.000000e+00	0.000000e+00	350.00	28
oligos_7nt_mkv5_m2	-1.3	49	20384121	31867	1.560885e-03	1.100703e-03	22471.94	0.000000e+00	0.000000e+00	350.00	29
oligos_7nt_mkv5_m2	-1.2	45	20384166	31822	1.558680e-03	1.097191e-03	22400.23	0.000000e+00	0.000000e+00	350.00	30
oligos_7nt_mkv5_m2	-1.1	70	20384236	31752	1.555252e-03	1.092518e-03	22304.84	0.000000e+00	0.000000e+00	350.00	31
oligos_7nt_mkv5_m2	-1.0	149	20384385	31603	1.547954e-03	1.088963e-03	22232.25	0.000000e+00	0.000000e+00	350.00	32
oligos_7nt_mkv5_m2	-0.9	200	20384585	31403	1.538157e-03	1.082232e-03	22094.83	0.000000e+00	0.000000e+00	350.00	33
oligos_7nt_mkv5_m2	-0.8	182	20384767	31221	1.529243e-03	1.064727e-03	21737.46	0.000000e+00	0.000000e+00	350.00	34
oligos_7nt_mkv5_m2	-0.7	252	20385019	30969	1.516899e-03	1.045954e-03	21354.18	0.000000e+00	0.000000e+00	350.00	35
oligos_7nt_mkv5_m2	-0.6	584	20385603	30385	1.488294e-03	1.032192e-03	21073.22	0.000000e+00	0.000000e+00	350.00	36
oligos_7nt_mkv5_m2	-0.5	449	20386052	29936	1.466302e-03	1.003204e-03	20481.40	0.000000e+00	0.000000e+00	350.00	37
oligos_7nt_mkv5_m2	-0.4	742	20386794	29194	1.429958e-03	9.689046e-04	19781.14	0.000000e+00	0.000000e+00	350.00	38
oligos_7nt_mkv5_m2	-0.3	594	20387388	28600	1.400863e-03	9.366706e-04	19123.05	0.000000e+00	0.000000e+00	350.00	39
oligos_7nt_mkv5_m2	-0.2	779	20388167	27821	1.362707e-03	9.035259e-04	18446.37	0.000000e+00	0.000000e+00	350.00	40
oligos_7nt_mkv5_m2	-0.1	943	20389110	26878	1.316517e-03	8.656266e-04	17672.62	0.000000e+00	0.000000e+00	350.00	41
oligos_7nt_mkv5_m2	0.0	891	20390001	25987	1.272875e-03	8.131358e-04	16600.97	0.000000e+00	0.000000e+00	350.00	42
oligos_7nt_mkv5_m2	0.1	1205	20391206	24782	1.213853e-03	7.726966e-04	15775.36	0.000000e+00	0.000000e+00	350.00	43
oligos_7nt_mkv5_m2	0.2	1379	20392585	23403	1.146308e-03	7.208061e-04	14715.97	0.000000e+00	0.000000e+00	350.00	44
oligos_7nt_mkv5_m2	0.3	1156	20393741	22247	1.089685e-03	6.710051e-04	13699.23	0.000000e+00	0.000000e+00	350.00	45
oligos_7nt_mkv5_m2	0.4	1627	20395368	20620	1.009993e-03	6.159355e-04	12574.93	0.000000e+00	0.000000e+00	350.00	46
oligos_7nt_mkv5_m2	0.5	1192	20396560	19428	9.516072e-04	5.696192e-04	11629.34	0.000000e+00	0.000000e+00	350.00	47
oligos_7nt_mkv5_m2	0.6	1957	20398517	17471	8.557509e-04	5.205337e-04	10627.21	0.000000e+00	0.000000e+00	350.00	48
oligos_7nt_mkv5_m2	0.7	1572	20400089	15899	7.787525e-04	4.685001e-04	9564.89	0.000000e+00	0.000000e+00	350.00	49
oligos_7nt_mkv5_m2	0.8	1498	20401587	14401	7.053786e-04	4.172371e-04	8518.31	0.000000e+00	0.000000e+00	350.00	50
oligos_7nt_mkv5_m2	0.9	1575	20403162	12826	6.282332e-04	3.742337e-04	7640.35	0.000000e+00	0.000000e+00	350.00	51
oligos_7nt_mkv5_m2	1.0	1286	20404448	11540	5.652433e-04	3.342754e-04	6824.56	0.000000e+00	0.000000e+00	350.00	52
oligos_7nt_mkv5_m2	1.1	1105	20405553	10435	5.111191e-04	2.963258e-04	6049.78	0.000000e+00	0.000000e+00	350.00	53
oligos_7nt_mkv5_m2	1.2	1055	20406608	9380	4.594439e-04	2.619883e-04	5348.75	0.000000e+00	0.000000e+00	350.00	54
oligos_7nt_mkv5_m2	1.3	822	20407430	8558	4.191813e-04	2.268475e-04	4631.32	0.000000e+00	0.000000e+00	350.00	55
oligos_7nt_mkv5_m2	1.4	898	20408328	7660	3.751962e-04	2.082192e-04	4251.00	0.000000e+00	0.000000e+00	350.00	56
oligos_7nt_mkv5_m2	1.5	918	20409246	6742	3.302314e-04	1.828172e-04	3732.39	0.000000e+00	0.000000e+00	350.00	57
oligos_7nt_mkv5_m2	1.6	551	20409797	6191	3.032427e-04	1.633494e-04	3334.94	0.000000e+00	0.000000e+00	350.00	58
oligos_7nt_mkv5_m2	1.7	712	20410509	5479	2.683681e-04	1.472220e-04	3005.68	0.000000e+00	0.000000e+00	350.00	59
oligos_7nt_mkv5_m2	1.8	574	20411083	4905	2.402529e-04	1.348343e-04	2752.78	1.796594e-298	2.281674e-296	295.64	60
oligos_7nt_mkv5_m2	1.9	245	20411328	4660	2.282525e-04	1.174266e-04	2397.38	0.000000e+00	0.000000e+00	350.00	61
oligos_7nt_mkv5_m2	2.0	386	20411714	4274	2.093457e-04	1.095600e-04	2236.78	8.275106e-320	1.050938e-317	316.98	62
oligos_7nt_mkv5_m2	2.1	253	20411967	4021	1.969535e-04	1.012726e-04	2067.58	7.549439e-316	9.587787e-314	313.02	63
oligos_7nt_mkv5_m2	2.2	240	20412207	3781	1.851980e-04	9.394499e-05	1917.98	4.832050e-308	6.136704e-306	305.21	64
oligos_7nt_mkv5_m2	2.3	187	20412394	3594	1.760385e-04	8.974868e-05	1832.31	4.586485e-289	5.824836e-287	286.23	65
oligos_7nt_mkv5_m2	2.4	124	20412518	3470	1.699648e-04	8.486008e-05	1732.50	8.696271e-295	1.104426e-292	291.96	66
oligos_7nt_mkv5_m2	2.5	48	20412566	3422	1.676137e-04	8.099794e-05	1653.65	1.908933e-315	2.424344e-313	312.62	67
oligos_7nt_mkv5_m2	2.6	235	20412801	3187	1.561032e-04	7.901939e-05	1613.26	1.863574e-261	2.366739e-259	258.63	68
oligos_7nt_mkv5_m2	2.7	59	20412860	3128	1.532133e-04	7.623891e-05	1556.49	2.912552e-268	3.698941e-266	265.43	69
oligos_7nt_mkv5_m2	2.8	56	20412916	3072	1.504703e-04	7.419297e-05	1514.72	1.170971e-269	1.487134e-267	266.83	70
oligos_7nt_mkv5_m2	2.9	104	20413020	2968	1.453763e-04	7.227377e-05	1475.54	3.021420e-255	3.837204e-253	252.42	71
oligos_7nt_mkv5_m2	3.0	21	20413041	2947	1.443477e-04	6.980446e-05	1425.13	1.631198e-271	2.071622e-269	268.68	72
oligos_7nt_mkv5_m2	3.1	28	20413069	2919	1.429762e-04	6.800003e-05	1388.29	6.062302e-280	7.699124e-278	277.11	73
oligos_7nt_mkv5_m2	3.2	26	20413095	2893	1.417027e-04	6.704523e-05	1368.79	6.655737e-281	8.452787e-279	278.07	74
oligos_7nt_mkv5_m2	3.3	57	20413152	2836	1.389107e-04	6.591466e-05	1345.71	1.540818e-273	1.956839e-271	270.71	75
oligos_7nt_mkv5_m2	3.4	38	20413190	2798	1.370495e-04	6.408105e-05	1308.28	2.250118e-279	2.857650e-277	276.54	76
oligos_7nt_mkv5_m2	3.5	27	20413217	2771	1.357270e-04	6.321144e-05	1290.52	3.004795e-279	3.816090e-277	276.42	77
oligos_7nt_mkv5_m2	3.6	22	20413239	2749	1.346494e-04	6.227069e-05	1271.32	1.512727e-281	1.921163e-279	278.72	78
oligos_7nt_mkv5_m2	3.7	28	20413267	2721	1.332779e-04	6.073898e-05	1240.05	4.388489e-288	5.573381e-286	285.25	79
oligos_7nt_mkv5_m2	3.8	12	20413279	2709	1.326901e-04	5.971985e-05	1219.24	7.091262e-295	9.005903e-293	292.05	80
oligos_7nt_mkv5_m2	3.9	19	20413298	2690	1.317595e-04	5.927558e-05	1210.17	4.235297e-293	5.378827e-291	290.27	81
oligos_7nt_mkv5_m2	4.0	18	20413316	2672	1.308778e-04	5.846414e-05	1193.60	1.105280e-295	1.403705e-293	292.85	82
oligos_7nt_mkv5_m2	4.1	22	20413338	2650	1.298002e-04	5.810470e-05	1186.26	6.250680e-292	7.938363e-290	289.10	83
