; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta -matrix_format transfac -m $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/data/sequences/peak-motifs_test_maxlen400.fasta
; Matrix files
;	matrix 1	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1.tf
; Sequence format      	fasta
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/positions_6nt_m1/peak-motifs_positions_6nt_m1_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.28671
;		c	0.21298
;		g	0.21277
;		t	0.28754
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name            	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	positions_6nt_m1	15	4	1	-45.600	16.300	61.900	a:0.287 c:0.213 g:0.213 t:0.288 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
positions_6nt_m1	-5.0	10394	19838823	318937	1.582205e-02	1.385333e-02	279252.15	0.000000e+00	0.000000e+00	350.00	1
positions_6nt_m1	-4.9	9257	19848080	309680	1.536282e-02	1.333793e-02	268862.83	0.000000e+00	0.000000e+00	350.00	2
positions_6nt_m1	-4.8	8942	19857022	300738	1.491922e-02	1.292904e-02	260620.45	0.000000e+00	0.000000e+00	350.00	3
positions_6nt_m1	-4.7	8922	19865944	291816	1.447661e-02	1.244354e-02	250833.88	0.000000e+00	0.000000e+00	350.00	4
positions_6nt_m1	-4.6	8795	19874739	283021	1.404030e-02	1.201547e-02	242204.90	0.000000e+00	0.000000e+00	350.00	5
positions_6nt_m1	-4.5	8399	19883138	274622	1.362364e-02	1.164051e-02	234646.67	0.000000e+00	0.000000e+00	350.00	6
positions_6nt_m1	-4.4	8168	19891306	266454	1.321843e-02	1.119680e-02	225702.41	0.000000e+00	0.000000e+00	350.00	7
positions_6nt_m1	-4.3	7719	19899025	258735	1.283550e-02	1.084415e-02	218593.67	0.000000e+00	0.000000e+00	350.00	8
positions_6nt_m1	-4.2	7769	19906794	250966	1.245009e-02	1.046454e-02	210941.73	0.000000e+00	0.000000e+00	350.00	9
positions_6nt_m1	-4.1	7434	19914228	243532	1.208130e-02	1.006023e-02	202791.64	0.000000e+00	0.000000e+00	350.00	10
positions_6nt_m1	-4.0	7160	19921388	236372	1.172611e-02	9.738706e-03	196310.48	0.000000e+00	0.000000e+00	350.00	11
positions_6nt_m1	-3.9	7303	19928691	229069	1.136381e-02	9.358129e-03	188638.91	0.000000e+00	0.000000e+00	350.00	12
positions_6nt_m1	-3.8	6887	19935578	222182	1.102216e-02	9.023486e-03	181893.26	0.000000e+00	0.000000e+00	350.00	13
positions_6nt_m1	-3.7	6684	19942262	215498	1.069057e-02	8.700546e-03	175383.51	0.000000e+00	0.000000e+00	350.00	14
positions_6nt_m1	-3.6	6613	19948875	208885	1.036251e-02	8.417619e-03	169680.33	0.000000e+00	0.000000e+00	350.00	15
positions_6nt_m1	-3.5	6299	19955174	202586	1.005003e-02	8.112052e-03	163520.79	0.000000e+00	0.000000e+00	350.00	16
positions_6nt_m1	-3.4	6134	19961308	196452	9.745726e-03	7.785966e-03	156947.63	0.000000e+00	0.000000e+00	350.00	17
positions_6nt_m1	-3.3	5901	19967209	190551	9.452985e-03	7.501622e-03	151215.90	0.000000e+00	0.000000e+00	350.00	18
positions_6nt_m1	-3.2	5665	19972874	184886	9.171952e-03	7.253653e-03	146217.38	0.000000e+00	0.000000e+00	350.00	19
positions_6nt_m1	-3.1	5633	19978507	179253	8.892506e-03	6.985845e-03	140818.98	0.000000e+00	0.000000e+00	350.00	20
positions_6nt_m1	-3.0	5535	19984042	173718	8.617922e-03	6.725906e-03	135579.19	0.000000e+00	0.000000e+00	350.00	21
