; classfreq  -v 1 -ci 20 -o $RSAT/public_html/tmp/wwwrun/2014/09/03/peak-motifs.2014-09-03.182940_2014-09-03.182940_LkVj4M/results/discovered_motifs/positions_8nt_m4/peak-motifs_positions_8nt_m4_site_distrib.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
-200	-180	-190	3	3	2843	0.00106	0.00106	1.00000
-180	-160	-170	10	13	2840	0.00352	0.00457	0.99894
-160	-140	-150	6	19	2830	0.00211	0.00668	0.99543
-140	-120	-130	5	24	2824	0.00176	0.00844	0.99332
-120	-100	-110	12	36	2819	0.00422	0.01266	0.99156
-100	-80	-90	27	63	2807	0.00950	0.02216	0.98734
-80	-60	-70	83	146	2780	0.02919	0.05135	0.97784
-60	-40	-50	215	361	2697	0.07562	0.12698	0.94865
-40	-20	-30	457	818	2482	0.16075	0.28772	0.87302
-20	0	-10	604	1422	2025	0.21245	0.50018	0.71228
0	20	10	651	2073	1421	0.22898	0.72916	0.49982
20	40	30	426	2499	770	0.14984	0.87900	0.27084
40	60	50	205	2704	344	0.07211	0.95111	0.12100
60	80	70	83	2787	139	0.02919	0.98030	0.04889
80	100	90	26	2813	56	0.00915	0.98945	0.01970
100	120	110	9	2822	30	0.00317	0.99261	0.01055
120	140	130	10	2832	21	0.00352	0.99613	0.00739
140	160	150	6	2838	11	0.00211	0.99824	0.00387
160	180	170	3	2841	5	0.00106	0.99930	0.00176
180	200	190	2	2843	2	0.00070	1.00000	0.00070
; Statistics:
; -----------
; class interval     	20
; classes            	20
; count              	2843
; sum                	-3313
; mean               	-1.16532
; median class       	[-40..-20[
; var                	1.56e+03
; std                	39.4718
; min                	-188
; max                	183
; range              	371
; Host name	rsat
; Job started	2014-09-03.192141
; Job done	2014-09-03.192141
; Seconds	0.26
;	user	0.26
;	system	0.01
;	cuser	0
;	csystem	0
